UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
-6.788559,-1.2554291,14.732059,13.940604,15.892065,13.837474,21.415016,9.558884,-7.262481,-2.973744,-9.836184,-3.5428505
-2.2952497,-3.955142,10.1837845,15.540127,11.615769,16.310415,18.776085,13.025875,-2.8266926,-4.767148,-5.322751,-5.341806
-4.032252,-3.080995,12.06224,15.167306,13.8782015,15.873677,19.99416,11.889523,-5.2648234,-4.910923,-7.353658,-5.6310086
-4.2468805,-1.5390215,12.57509,13.40971,13.553803,14.569907,19.342607,10.900498,-4.6714277,-3.545386,-7.195171,-4.2647285
3.4415393,-4.438009,4.7450376,14.339533,5.959783,15.977987,13.058949,14.318643,2.2405448,-2.7295425,-0.74016994,-2.083389
-3.7955685,-2.0808635,11.695699,14.255522,13.246932,15.743511,19.33445,11.564319,-4.21212,-4.1023827,-6.5692267,-4.65163
-4.734831,-2.7156768,12.625147,15.037928,14.293871,15.606327,20.564367,11.623453,-5.4819875,-4.312119,-7.980169,-4.99916
-0.9285751,-2.7083337,8.795717,14.174591,10.306676,14.986432,16.786188,12.847233,-1.6186906,-3.7253668,-4.048839,-3.699284
-3.1064272,-4.714597,10.527909,16.629456,12.213367,17.215096,19.561674,13.937066,-3.9758594,-5.520008,-6.388933,-6.0173407
-3.81114,-4.074175,11.275691,15.729284,12.661403,16.624708,19.184376,12.847131,-4.1470504,-5.0519137,-5.9531374,-5.085926
-1.8188145,-6.415673,8.915756,17.653202,10.164437,18.312338,18.03052,15.517065,-2.2933853,-7.1516356,-4.5041313,-7.3288484
-3.022488,-4.0047297,10.5271435,15.670684,12.163559,16.364109,19.40536,13.203273,-3.7943006,-4.923506,-5.639747,-5.3762646
-2.3275764,-2.719051,10.201997,14.595474,11.639367,15.347051,17.912098,12.335255,-2.9941652,-3.6728911,-5.539151,-4.1616287
-0.56967634,-4.864366,8.112472,16.346548,9.564211,17.10608,16.937864,14.826638,-0.6501951,-5.197792,-3.311176,-5.1320047
-2.8328295,-0.62808424,10.551812,12.6000805,11.939558,13.548315,17.709126,10.757765,-3.2068808,-2.5106187,-5.953748,-2.962963
-4.9231687,-1.7527348,13.129002,14.351845,14.372649,15.257834,20.430239,11.322111,-5.3453345,-3.953482,-8.046235,-4.6268888
-4.524805,-3.4052093,12.230232,15.4274845,13.795307,16.152704,20.331144,12.108685,-5.143576,-4.690735,-7.702799,-5.2243485
-1.3557166,-4.6815414,9.0831,16.03877,10.849717,16.753605,18.003082,13.76313,-2.2028663,-5.1143074,-4.387656,-5.3690243
3.2862985,-4.1287727,4.583857,14.4164505,6.4228153,16.312384,13.363847,14.8105755,1.9258318,-3.0665858,-0.8666898,-2.6827855
-1.9508749,-5.2315974,9.127201,16.80666,10.819957,17.50369,18.321737,14.790309,-2.6885254,-6.490889,-4.862177,-6.674398
-1.114698,0.087242804,9.677934,11.62543,11.084775,12.567586,16.490753,10.029466,-3.283051,-0.9444735,-6.3207355,-1.4203161
-2.0697963,-6.3396263,9.322737,17.850584,10.893546,18.67296,18.62958,15.615267,-2.9670873,-7.404124,-4.99175,-7.5792756
1.9795723,-5.2939277,5.525088,15.565116,7.243115,16.975119,14.423398,15.115411,1.7646565,-4.020683,-1.084015,-3.6278028
